scope,connective,cell,N,atomic_union_mean,atomic_union_std,compound_trained_mean,compound_trained_std
heldout_test,and,TT,200,9.905469324266564,3.216357901325532,7.6760737717984675,3.7986096120016444
heldout_test,and,TF,200,1.919950972635113,4.352627204117933,-11.992828161109747,4.670959272043601
heldout_test,and,FT,200,1.8867354475270168,4.745203091728926,-11.462415555822526,5.716693726469479
heldout_test,and,FF,200,-0.9335218843946664,4.176285815875839,-24.03084099807009,6.307696537209417
heldout_test,or,TT,200,4.988353412596341,2.2777619643751805,20.76056249099447,6.298740978188631
heldout_test,or,TF,200,0.34555930888684117,4.136494186442823,8.590981580565286,4.51157536439665
heldout_test,or,FT,200,0.23641930643248352,4.537595908394525,8.831034916234882,4.692057570785596
heldout_test,or,FF,200,-1.1817583162628882,4.898633087268511,-6.503772762436573,4.528340284614544
full_descriptive,and,TT,1000,10.108286403409886,3.171276818767064,8.186043377382983,3.22749488263035
full_descriptive,and,TF,1000,1.7318398779097308,4.444269899152081,-12.032919405082849,4.920177273443582
full_descriptive,and,FT,1000,1.751251312245795,4.498406428699398,-11.817448756480523,5.09578806954952
full_descriptive,and,FF,1000,-1.1404675338029016,4.029317851219015,-24.344939439347144,6.027976178735638
full_descriptive,or,TT,1000,4.577685423420561,2.349782266109878,21.38691562490301,6.409770399427644
full_descriptive,or,TF,1000,-0.023642612853923,4.1459796341457045,8.699427930461193,4.01998107076305
full_descriptive,or,FT,1000,0.00922302972816344,4.227487392617956,8.785297974193199,4.131426240917183
full_descriptive,or,FF,1000,-1.2571353442893347,4.906033227684599,-7.228491938100952,3.734654302068918
